apparent_elevation,loss
0,3.482986074501094
1,1.8781570245355168
2,1.238380351505178
3,0.9098065703527558
4,0.7138645173550952
5,0.5852618130492562
6,0.49500463442061216
7,0.42845234013166184
8,0.3774907937549698
9,0.3372914090298949
10,0.30481445266772955
11,0.27805701059378546
12,0.25564864535902015
13,0.23662153598258573
14,0.22027355816995187
15,0.2060834201215328
16,0.19365623290476994
17,0.18268754709383783
18,0.17293896273533765
19,0.16422120247093272
20,0.15638212063571183
21,0.14929805146781935
22,0.14286746246269774
23,0.13700622847729557
24,0.13164406447780175
25,0.12672179920598137
26,0.12218926767715181
27,0.11800366490053893
28,0.1141282474040443
29,0.11053129988580437
30,0.10718530601431359
31,0.10406627788399868
32,0.10115320985730983
33,0.09842763071458543
34,0.09587323409473737
35,0.09347557172998036
36,0.09122179738520746
37,0.08910045199781709
38,0.08710128249430829
39,0.08521508828962102
40,0.08343359066526565
41,0.08174932114593901
42,0.08015552573390518
43,0.07864608243683245
44,0.07721542998826975
45,0.0758585060301893
46,0.07457069332880142
47,0.073347772830347
48,0.07218588256981946
49,0.07108148159974349
50,0.07003131823672638
51,0.06903240204396599
52,0.06808197904222633
53,0.06717750972888234
54,0.06631664954417198
55,0.0654972314724047
56,0.06471725051569455
57,0.06397484980879778
58,0.06326830818280721
59,0.06259602900181095
60,0.06195653012978106
61,0.061348434899071005
62,0.06077046396507169
63,0.06022142795215426
64,0.059700220808866916
65,0.05920581379003646
66,0.05873725000833914
67,0.058293639490202
68,0.057874154693657885
69,0.05747802643164817
70,0.057104540175950555
71,0.05675303269055783
72,0.05642288897697293
73,0.056113539495534936
74,0.055824457642509914
75,0.05555515745743711
76,0.05530519154637916
77,0.05507414919852141
78,0.054861654685416414
79,0.054667365726477804
80,0.054490972110575825
81,0.0543321944606276
82,0.054190783136561275
83,0.05406651726177222
84,0.05395920387205704
85,0.053868677178818124
86,0.05379479793816256
87,0.05373745292682359
88,0.05369655451754251
89,0.05367204035080269
90,0.0536638731043823
