apparent_elevation,loss
0,1.8516423718575856
1,1.1201051950390755
2,0.7725956098496243
3,0.5792518332996547
4,0.4592671239559967
5,0.37876538804436694
6,0.32151714356715055
7,0.2789474567749843
8,0.2461651728126305
9,0.22020303999760346
10,0.19916778419186654
11,0.18179969932852863
12,0.1672305891632005
13,0.1548439129845228
14,0.14419045002492187
15,0.13493552783536536
16,0.12682492067152687
17,0.11966218105771079
18,0.11329319040531541
19,0.1075953933614824
20,0.10247014555619847
21,0.09783717644464258
22,0.09363051753222097
23,0.08979546406431267
24,0.08628627746340707
25,0.08306442661114666
26,0.08009722645402344
27,0.07735677325732254
28,0.07481910389325447
29,0.07246352616268613
30,0.07027208094880304
31,0.06822910694993414
32,0.06632088591030183
33,0.06453535152802575
34,0.06286184911304778
35,0.06129093598306735
36,0.0598142147709358
37,0.05842419349513399
38,0.05711416751506427
39,0.055878119486862755
40,0.05471063420172352
41,0.05360682578851573
42,0.052562275239968974
43,0.051572976599205136
44,0.05063529043448114
45,0.04974590348377896
46,0.04890179353577848
47,0.048100198768977774
48,0.04733859091153785
49,0.046614651673081084
50,0.04592625199827043
51,0.04527143375357914
52,0.04464839352538024
53,0.04405546825194959
54,0.043491122450019085
55,0.04295393683958078
56,0.04244259818936472
57,0.04195589023797709
58,0.0414926855555485
59,0.04105193824540269
60,0.04063267737753207
61,0.040234001080797985
62,0.039855071212256225
63,0.039495108547754676
64,0.03915338842906589
65,0.03882923682986155
66,0.03852202678684261
67,0.038231175164856725
68,0.037956139722595456
69,0.03769641644468176
70,0.03745153712093668
71,0.03722106714288315
72,0.03700460350476118
73,0.036801772982485985
74,0.03661223048268679
75,0.03643565754234561
76,0.03627176096696233
77,0.03612027159863585
78,0.0359809432032632
79,0.035853551462806325
80,0.03573789307550013
81,0.03563378494473659
82,0.03554106346132598
83,0.03545958386634338
84,0.035389219693895274
85,0.03532986228731106
86,0.03528142038647338
87,0.03524381978554597
88,0.035217003053562256
89,0.03520092932027932
