apparent_elevation,loss
0,1.8648069065636435
1,1.1277335167725064
2,0.7779176092402226
3,0.5832688654148849
4,0.4624648963321533
5,0.38140924240911767
6,0.3237650380269716
7,0.28089986530234645
8,0.24788945824436698
9,0.22174633134945398
10,0.20056422938071505
11,0.18307477313880727
12,0.16840376951371366
13,0.15593040838548772
14,0.1452023519429216
15,0.13588260172523722
16,0.12771516273305697
17,0.12050221882408625
18,0.11408857666012381
19,0.10835082557742498
20,0.10318963231812
21,0.09852416544013669
22,0.09428799526289951
23,0.09042603442806971
24,0.08689222434379816
25,0.08364776421636654
26,0.08065974016692
27,0.07790005305698695
28,0.07534457191525214
29,0.0729724595778919
30,0.07076563108612458
31,0.0687083153803426
32,0.06678669804968097
33,0.0649886282034881
34,0.06330337645141107
35,0.06172143389867575
36,0.06023434429081394
37,0.05883456310231947
38,0.057515338666530434
39,0.056270611431364435
40,0.0550949281994807
41,0.053983368822467785
42,0.052931483290696586
43,0.05193523753885161
44,0.050990966598227286
45,0.05009533395816087
46,0.04924529619746169
47,0.04843807211407051
48,0.047671115691241335
49,0.046942092369359416
50,0.04624885814919786
51,0.04558944115383359
52,0.04496202531071515
53,0.04436493588508689
54,0.04379662661518736
55,0.04325566825801183
56,0.04274073836395581
57,0.04225061213285307
58,0.041784154220789314
59,0.04134031138768147
60,0.04091810588793844
61,0.04051662951830457
62,0.04013503825159736
63,0.039772547392872504
64,0.039428427195724196
65,0.0391019989019904
66,0.0387926311460538
67,0.03849973669814408
68,0.038222769510366066
69,0.037961222027930105
70,0.03771462275369068
71,0.03748253402666935
72,0.03726455001195054
73,0.03706029486451372
74,0.03686942106828261
75,0.03669160792336641
76,0.036526560177007984
77,0.03637400678127731
78,0.036233699772619574
79,0.036105413258449216
80,0.0359889425083644
81,0.03588410314079965
82,0.03579073039794346
83,0.03570867850427734
84,0.03563782010556597
85,0.035578045781630444
86,0.035529263632411795
87,0.03549139893057562
88,0.03546439384188407
89,0.035448207208742935
90,0.035442814398965634
